Characteristic,Category,Percentage of population age 0-4,Percentage of population age 5-9,Percentage of population age 10-14,Percentage of population age 15-19,Percentage of population age 20-24,Percentage of population age 25-29,Percentage of population age 30-34,Percentage of population age 35-39,Percentage of population age 40-44,Percentage of population age 45-49,Percentage of population age 50-54,Percentage of population age 55-59,Percentage of population age 60-64,Percentage of population age 65-69,Percentage of population age 70-74,Percentage of population age 75-79,Percentage of population age 80 +,Dependency age group 0-14,Dependency age group 15-64,Dependency age group 65+,Child population 0-17,Adult population 18+,Adolescents 10-19
Nigeria,Total,17,16.7,12.3,9,6.6,7,6.3,5.8,4.4,3.6,3.1,2.2,2,1.4,1.1,0.6,0.8,46,50.1,3.9,51.6,48.4,21.3
Nigeria,Male,17.6,17.2,12.6,8.8,5.7,5.8,5.9,5.8,4.7,3.8,2.9,2.3,2.4,1.6,1.4,0.7,0.8,47.4,48,4.6,53.1,46.9,21.4
Nigeria,Female,16.4,16.2,12,9.1,7.5,8.2,6.7,5.9,4.1,3.5,3.2,2.2,1.6,1.2,0.9,0.5,0.7,44.6,52.1,3.3,50.2,49.8,21.2
 Urban,Total,15.4,15.2,12.1,9.1,6.5,7.1,7,6.6,4.8,4,3.2,2.5,2.1,1.5,1.2,0.6,0.8,42.7,53,4.2,48.4,51.6,21.2
 Urban,Male,16.1,15.7,12.3,8.9,5.8,5.8,6.5,6.6,5.3,4.2,3.1,2.6,2.4,1.6,1.5,0.7,0.8,44.1,51.2,4.6,49.6,50.3,21.2
 Urban,Female,14.7,14.8,11.9,9.4,7.2,8.4,7.5,6.6,4.3,3.8,3.3,2.4,1.9,1.4,1,0.5,0.8,41.4,54.8,3.7,47.1,52.8,21.3
 Rural,Total,18.2,17.8,12.5,8.9,6.6,6.9,5.8,5.3,4.1,3.3,3,2.1,1.9,1.4,1,0.6,0.7,48.5,47.8,3.7,54.1,45.9,21.3
 Rural,Male,18.7,18.3,12.8,8.8,5.5,5.8,5.4,5.2,4.2,3.4,2.8,2,2.3,1.7,1.2,0.7,0.9,49.8,45.6,4.5,55.7,44.3,21.6
 Rural,Female,17.7,17.2,12.1,8.9,7.7,8,6.1,5.3,3.9,3.2,3.2,2.1,1.5,1.1,0.8,0.5,0.6,47.1,50,2.9,52.6,47.4,21.1
 North Central,Total,17,16,11.7,9.2,7.3,8.1,6.5,6.1,4.1,3.6,2.6,2,1.7,1.4,1,0.8,0.9,44.7,51.2,4.1,50.2,49.8,20.9
 North Central,Male,17.2,16.2,12.6,9.1,6.1,6.7,6.9,6.4,4.3,3.5,2.6,1.9,2.1,1.6,1,0.8,0.9,45.9,49.6,4.4,51.5,48.5,21.6
 North Central,Female,16.9,15.7,10.8,9.4,8.4,9.4,6.1,5.8,3.8,3.7,2.6,2.1,1.4,1.2,1,0.7,0.9,43.5,52.8,3.7,49,51,20.3
 North East,Total,18,18.7,13.4,9.8,7,6.8,5.6,4.8,3.7,2.7,3,1.8,1.8,1,1,0.5,0.5,50.1,46.9,3,56.3,43.7,23.2
 North East,Male,18.3,18.9,13.4,9.9,6.3,5.9,5.1,4.6,3.9,3,2.8,1.8,2.2,1.3,1.4,0.6,0.7,50.5,45.5,4,57.1,42.9,23.3
 North East,Female,17.7,18.4,13.4,9.6,7.7,7.7,6.1,5,3.5,2.4,3.2,1.8,1.4,0.7,0.6,0.3,0.3,49.6,48.4,2,55.6,44.4,23.1
